dataset_version,redis_durability,regime,metric,system,reference,system_successes,system_total,system_rate,reference_successes,reference_total,reference_rate,fisher_p_value,system_runs,reference_runs,fisher_unit,difference_rate,difference_ci_low,difference_ci_high,difference_confidence,difference_method,difference_strata,system_clusters,reference_clusters,equivalence_margin,equivalent_within_margin,equivalence_margin_preregistered
stage3-2026-08-13-replication-1,everysec,crashed,known_ambiguity_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,540,0.0,193,540,0.3574074074074074,1.1565901835252605e-67,54,54,execution (cluster-unadjusted),-0.3574074074074074,-0.37037037037037035,-0.34444444444444444,0.9,stratified run-cluster percentile bootstrap,18,54,54,0.05,False,False
stage3-2026-08-13-replication-1,everysec,crashed,known_ambiguity_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,540,0.0,193,540,0.3574074074074074,1.1565901835252605e-67,54,54,execution (cluster-unadjusted),-0.3574074074074074,-0.37037037037037035,-0.34444444444444444,0.9,stratified run-cluster percentile bootstrap,18,54,54,0.05,False,False
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B0_NAIVE_RETRY,AEP_FULL,5,450,0.011111111111111112,0,540,0.0,0.019168880599469904,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B1_LEASE_ONLY,AEP_FULL,2,450,0.0044444444444444444,0,540,0.0,0.2063608787572387,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B2_CAS_ONLY,AEP_FULL,1,450,0.0022222222222222222,0,540,0.0,0.45454545454545453,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,282,540,0.5222222222222223,0,540,0.0,2.460609606580116e-107,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,lost_effect_rate,B4_DURABLE_WORKFLOW,AEP_FULL,6,540,0.011111111111111112,0,540,0.0,0.030816779708466167,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B0_NAIVE_RETRY,AEP_FULL,5,450,0.011111111111111112,0,540,0.0,0.019168880599469904,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B1_LEASE_ONLY,AEP_FULL,2,450,0.0044444444444444444,0,540,0.0,0.2063608787572387,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B2_CAS_ONLY,AEP_FULL,1,450,0.0022222222222222222,0,540,0.0,0.45454545454545453,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,397,540,0.7351851851851852,0,540,0.0,3.8119955099860014e-173,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,unverified_failure_rate,B4_DURABLE_WORKFLOW,AEP_FULL,21,540,0.03888888888888889,0,540,0.0,7.821943248289176e-07,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B0_NAIVE_RETRY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B1_LEASE_ONLY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B2_CAS_ONLY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,state_corruption_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,recovery_success_rate,B0_NAIVE_RETRY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,recovery_success_rate,B1_LEASE_ONLY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
stage3-2026-08-13-replication-1,everysec,crashed,recovery_success_rate,B2_CAS_ONLY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
