run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,bc08533b-3751-4996-9bc9-149b069525b0,CONFIRMED_NOT_APPLIED,FAILED_CONFIRMED,0,0,1,2046.077255,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,95d86f69-9c6c-4b45-a1bb-ce5ef5cb5a7c,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2048.378017,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,f2cc60ef-dff5-490b-8c3c-7468ec67f555,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2040.153533,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,8746949e-8fc3-4265-ba11-b5abf59ec978,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2101.65944,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,e84d5d3f-abc5-40c9-81bb-6e1517424059,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2051.217348,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,043f3d84-1211-4b75-af50-33e8ce2520da,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2047.391675,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,e4c86d72-ef0d-4c7d-85f7-dc9215b1719e,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5052.217264,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r0,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,5ab0248d-cc3e-4603-adc9-46db9b97667d,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2032.376054,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,b0753baf-34b9-4c1b-814b-28babc4e0c28,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2116.733418,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1f0ed010-6941-4f0c-888d-69dcf345f82c,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2043.224906,,0,0
